Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
P46852	reviewed	YHHW_ECOLI	Quercetin 2,3-dioxygenase, Quercetinase, EC 1.13.11.24 (Pirin-like protein YhhW)	yhhW b3439 JW3402	Escherichia coli (strain K12)	231
P46923	reviewed	TORZ_ECOLI	Trimethylamine-N-oxide reductase 2, TMAO reductase 2, Trimethylamine oxidase 2, EC 1.7.2.3	torZ bisZ b1872 JW1861	Escherichia coli (strain K12)	809
P50466	reviewed	AER_ECOLI	Aerotaxis receptor	aer air yqjJ b3072 JW3043	Escherichia coli (strain K12)	506
P51025	reviewed	SFGH1_ECOLI	S-formylglutathione hydrolase FrmB, FGH, EC 3.1.2.12	frmB yaiM b0355 JW0346	Escherichia coli (strain K12)	277
P51981	reviewed	AEEP_ECOLI	L-Ala-D/L-Glu epimerase, AE epimerase, AEE, EC 5.1.1.20	ycjG ycjH b1325 JW1318	Escherichia coli (strain K12)	321
P52005	reviewed	TORY_ECOLI	Cytochrome c-type protein TorY	torY yecK b1873 JW1862	Escherichia coli (strain K12)	366
P52045	reviewed	SCPB_ECOLI	Methylmalonyl-CoA decarboxylase, MMCD, EC 4.1.1.- (Transcarboxylase)	scpB mmcD ygfG b2919 JW2886	Escherichia coli (strain K12)	261
P52062	reviewed	HEMW_ECOLI	Heme chaperone HemW	hemW yggW b2955 JW2922	Escherichia coli (strain K12)	378
P52094	reviewed	HISQ_ECOLI	Histidine transport system permease protein HisQ	hisQ b2308 JW2305	Escherichia coli (strain K12)	228
P52097	reviewed	TILS_ECOLI	tRNA(Ile)-lysidine synthase, EC 6.3.4.19 (tRNA(Ile)-2-lysyl-cytidine synthase) (tRNA(Ile)-lysidine synthetase)	tilS mesJ yaeN b0188 JW0183	Escherichia coli (strain K12)	432
P52130	reviewed	RNLB_ECOLI	Antitoxin RnlB	rnlB yfjO b2631 JW5418	Escherichia coli (strain K12)	123
P52599	reviewed	EMRK_ECOLI	Probable multidrug resistance protein EmrK	emrK b2368 JW2365	Escherichia coli (strain K12)	387
P52613	reviewed	FLIJ_ECOLI	Flagellar FliJ protein	fliJ flaO flaS b1942 JW1926	Escherichia coli (strain K12)	147
P52643	reviewed	LDHD_ECOLI	D-lactate dehydrogenase, D-LDH, EC 1.1.1.28 (Fermentative lactate dehydrogenase)	ldhA hslI htpH b1380 JW1375	Escherichia coli (strain K12)	329
P55798	reviewed	PRP1_ECOLI	Serine/threonine-protein phosphatase 1, EC 3.1.3.16	pphA prpA yebX b1838 JW1827	Escherichia coli (strain K12)	218
P58034	reviewed	YMGF_ECOLI	Inner membrane protein YmgF	ymgF b4520 JW1156	Escherichia coli (strain K12)	72
P60293	reviewed	MUKF_ECOLI	Chromosome partition protein MukF (Protein KicB)	mukF kicB b0922 JW0905	Escherichia coli (strain K12)	440
P60390	reviewed	RSMH_ECOLI	Ribosomal RNA small subunit methyltransferase H, EC 2.1.1.199 (16S rRNA m(4)C1402 methyltransferase) (rRNA (cytosine-N(4)-)-methyltransferase RsmH)	rsmH mraW yabC b0082 JW0080	Escherichia coli (strain K12)	313
P60546	reviewed	KGUA_ECOLI	Guanylate kinase, EC 2.7.4.8 (GMP kinase)	gmk spoR b3648 JW3623	Escherichia coli (strain K12)	207
P60584	reviewed	CAIA_ECOLI	Crotonobetainyl-CoA reductase, EC 1.3.8.13 (Crotobetaine reductase) (Crotonobetainyl-CoA dehydrogenase)	caiA yaaO b0039 JW0038	Escherichia coli (strain K12)	380
P60757	reviewed	HIS1_ECOLI	ATP phosphoribosyltransferase, ATP-PRT, ATP-PRTase, EC 2.4.2.17	hisG b2019 JW2001	Escherichia coli (strain K12)	299
P60782	reviewed	PLSY_ECOLI	Probable glycerol-3-phosphate acyltransferase (G3P acyltransferase, GPAT, EC 2.3.1.15, EC 2.3.1.n5) (Lysophosphatidic acid synthase, LPA synthase)	plsY ygiH b3059 JW3031	Escherichia coli (strain K12)	205
P60906	reviewed	SYH_ECOLI	Histidine--tRNA ligase, EC 6.1.1.21 (Histidyl-tRNA synthetase, HisRS)	hisS b2514 JW2498	Escherichia coli (strain K12)	424
P61517	reviewed	CAN_ECOLI	Carbonic anhydrase 2, EC 4.2.1.1 (Carbonate dehydratase 2)	can cynT2 yadF b0126 JW0122	Escherichia coli (strain K12)	220
P61714	reviewed	RISB_ECOLI	6,7-dimethyl-8-ribityllumazine synthase, DMRL synthase, LS, Lumazine synthase, EC 2.5.1.78	ribE ribH ybaF b0415 JW0405	Escherichia coli (strain K12)	156
P61949	reviewed	FLAV_ECOLI	Flavodoxin 1 (Flavodoxin A)	fldA b0684 JW0671	Escherichia coli (strain K12)	176
P62395	reviewed	SECM_ECOLI	Secretion monitor	secM srrA yacA b0097 JW5007	Escherichia coli (strain K12)	170
P62517	reviewed	OPGH_ECOLI	Glucans biosynthesis glucosyltransferase H, EC 2.4.1.-	mdoH opgH b1049 JW1037	Escherichia coli (strain K12)	847
P62601	reviewed	TREF_ECOLI	Cytoplasmic trehalase, EC 3.2.1.28 (Alpha,alpha-trehalase) (Alpha,alpha-trehalose glucohydrolase)	treF b3519 JW3487	Escherichia coli (strain K12)	549
P62615	reviewed	ISPE_ECOLI	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase, CMK, EC 2.7.1.148 (4-(cytidine-5'-diphospho)-2-C-methyl-D-erythritol kinase)	ispE ipk ychB b1208 JW1199	Escherichia coli (strain K12)	283
P63177	reviewed	RLMB_ECOLI	23S rRNA (guanosine-2'-O-)-methyltransferase RlmB, EC 2.1.1.185 (23S rRNA (guanosine2251 2'-O)-methyltransferase) (23S rRNA Gm2251 2'-O-methyltransferase)	rlmB yjfH b4180 JW4138	Escherichia coli (strain K12)	243
P63183	reviewed	KUP_ECOLI	Low affinity potassium transport system protein kup (Kup system potassium uptake protein)	kup trkD b3747 JW5609	Escherichia coli (strain K12)	622
P63201	reviewed	GADW_ECOLI	HTH-type transcriptional regulator GadW	gadW yhiW b3515 JW3483	Escherichia coli (strain K12)	242
P63746	reviewed	EUTS_ECOLI	Bacterial microcompartment shell protein EutS (Ethanolamine utilization protein EutS)	eutS ypfE b2462 JW2446	Escherichia coli (strain K12)	111
P64423	reviewed	ZNTB_ECOLI	Zinc transport protein ZntB	zntB ydaN b1342 JW1336	Escherichia coli (strain K12)	327
P64550	reviewed	ALAE_ECOLI	L-alanine exporter AlaE	alaE ygaW b2670 JW2645	Escherichia coli (strain K12)	149
P64554	reviewed	QUEE_ECOLI	7-carboxy-7-deazaguanine synthase, CDG synthase, EC 4.3.99.3 (Queuosine biosynthesis protein QueE)	queE ygcF b2777 JW2748	Escherichia coli (strain K12)	223
P64559	reviewed	SDHE_ECOLI	FAD assembly factor SdhE (Antitoxin CptB)	sdhE cptB ygfY b2897 JW2865	Escherichia coli (strain K12)	88
P64578	reviewed	HIGB_ECOLI	mRNA interferase toxin HigB, EC 3.1.-.- (Endoribonuclease HigB) (Toxin HigB)	higB ygjN b3083 JW3054	Escherichia coli (strain K12)	104
P64581	reviewed	YQJD_ECOLI	Uncharacterized protein YqjD	yqjD b3098 JW3069	Escherichia coli (strain K12)	101
P64612	reviewed	ZAPE_ECOLI	Cell division protein ZapE (Z ring-associated protein ZapE)	zapE yhcM b3232 JW3201	Escherichia coli (strain K12)	375
P64646	reviewed	GHOT_ECOLI	Toxin GhoT	ghoT yjdO b4559 JW5732	Escherichia coli (strain K12)	57
P65870	reviewed	QUED_ECOLI	6-carboxy-5,6,7,8-tetrahydropterin synthase, CPH4 synthase, EC 4.1.2.50 (Queuosine biosynthesis protein QueD)	queD ygcM b2765 JW2735	Escherichia coli (strain K12)	121
P67080	reviewed	PLPHP_ECOLI	Pyridoxal phosphate homeostasis protein, PLP homeostasis protein	yggS b2951 JW2918	Escherichia coli (strain K12)	234
P67095	reviewed	YFCE_ECOLI	Phosphodiesterase YfcE, EC 3.1.4.-	yfcE b2300 JW5377	Escherichia coli (strain K12)	184
P67697	reviewed	HICB_ECOLI	Antitoxin HicB	hicB ydcQ b1438 JW1433	Escherichia coli (strain K12)	138
P68066	reviewed	GRCA_ECOLI	Autonomous glycyl radical cofactor	grcA yfiD b2579 JW2563	Escherichia coli (strain K12)	127
P68191	reviewed	SRA_ECOLI	Stationary-phase-induced ribosome-associated protein, Protein D, SRA (30S ribosomal protein S22)	sra rpsV b1480 JW5962	Escherichia coli (strain K12)	45
P68567	reviewed	RSMJ_ECOLI	Ribosomal RNA small subunit methyltransferase J, EC 2.1.1.242 (16S rRNA m2G1516 methyltransferase) (rRNA (guanine-N(2)-)-methyltransferase)	rsmJ yhiQ b3497 JW5672	Escherichia coli (strain K12)	250
P69222	reviewed	IF1_ECOLI	Translation initiation factor IF-1	infA b0884 JW0867	Escherichia coli (strain K12)	72
P69432	reviewed	PGAD_ECOLI	Biofilm PGA synthesis protein PgaD	pgaD ycdP b1021 JW1006	Escherichia coli (strain K12)	137
P69434	reviewed	PGAA_ECOLI	Poly-beta-1,6-N-acetyl-D-glucosamine export protein, PGA export protein, Poly-beta-1,6-GlcNAc export protein	pgaA ycdS b1024 JW1010	Escherichia coli (strain K12)	807
P69488	reviewed	CUTA_ECOLI	Divalent-cation tolerance protein CutA (C-type cytochrome biogenesis protein CycY)	cutA cutA1 cycY b4137 JW4097	Escherichia coli (strain K12)	112
P69503	reviewed	APT_ECOLI	Adenine phosphoribosyltransferase, APRT, EC 2.4.2.7	apt b0469 JW0458	Escherichia coli (strain K12)	183
P69506	reviewed	YTFE_ECOLI	Iron-sulfur cluster repair protein YtfE (Regulator of cell morphogenesis and NO signaling, RCMNS)	ytfE b4209 JW4167	Escherichia coli (strain K12)	220
P69811	reviewed	PTFAH_ECOLI	Multiphosphoryl transfer protein, MTP (Diphosphoryl transfer protein, DTP) (Phosphotransferase FPr protein) (Pseudo-HPr) [Includes: Phosphocarrier protein HPr, Protein H; PTS system fructose-specific EIIA component (EIIA-Fru) (EIII-Fru) (Fructose-specific phosphotransferase enzyme IIA component) ]	fruB fpr fruF b2169 JW2156	Escherichia coli (strain K12)	376
P69820	reviewed	ULAC_ECOLI	Ascorbate-specific PTS system EIIA component (Ascorbate-specific phosphotransferase enzyme IIA component)	ulaC ptxA sgaA yjfU b4195 JW4153	Escherichia coli (strain K12)	154
P69829	reviewed	PTSN_ECOLI	Nitrogen regulatory protein (Enzyme IIA-NTR) (PTS system EIIA component) (Phosphotransferase enzyme IIA component)	ptsN rpoP yhbI b3204 JW3171	Escherichia coli (strain K12)	163
P69831	reviewed	PTKC_ECOLI	PTS system galactitol-specific EIIC component (EIIC-Gat) (Galactitol permease IIC component)	gatC b2092 JW2076	Escherichia coli (strain K12)	451
P71229	reviewed	HYFR_ECOLI	DNA-binding transcriptional activator HyfR (Hydrogenase-4 transcriptional activator)	hyfR b2491 JW2476	Escherichia coli (strain K12)	670
P75713	reviewed	ALLE_ECOLI	(S)-ureidoglycine aminohydrolase, UGHY, UGlyAH, EC 3.5.3.26	allE glxB6 ylbA b0515 JW0503	Escherichia coli (strain K12)	261
P75726	reviewed	CILA_ECOLI	Citrate lyase alpha chain, Citrase alpha chain, EC 4.1.3.6 (Citrate (pro-3S)-lyase alpha chain) (Citrate CoA-transferase subunit, EC 2.8.3.10)	citF ybdV b0615 JW5087	Escherichia coli (strain K12)	510
P75783	reviewed	YBIO_ECOLI	Moderate conductance mechanosensitive channel YbiO	ybiO b0808 JW5108	Escherichia coli (strain K12)	741
P75796	reviewed	GSIA_ECOLI	Glutathione import ATP-binding protein GsiA, EC 7.4.2.10	gsiA yliA b0829 JW5897	Escherichia coli (strain K12)	623
P75797	reviewed	GSIB_ECOLI	Glutathione-binding protein GsiB	gsiB yliB b0830 JW5111	Escherichia coli (strain K12)	512
P75798	reviewed	GSIC_ECOLI	Glutathione transport system permease protein GsiC	gsiC yliC b0831 JW0815	Escherichia coli (strain K12)	306
P75801	reviewed	DGCI_ECOLI	Probable diguanylate cyclase DgcI, DGC, EC 2.7.7.65 (Putative lipoprotein DgcI)	dgcI yliF b0834 JW0818	Escherichia coli (strain K12)	442
P75806	reviewed	YBJG_ECOLI	Putative undecaprenyl-diphosphatase YbjG, EC 3.6.1.27 (Undecaprenyl pyrophosphate phosphatase)	ybjG b0841 JW5112	Escherichia coli (strain K12)	198
P75817	reviewed	RLMC_ECOLI	23S rRNA (uracil(747)-C(5))-methyltransferase RlmC, EC 2.1.1.189 (23S rRNA(m5U747)-methyltransferase)	rlmC rumB ybjF b0859 JW0843	Escherichia coli (strain K12)	375
P75824	reviewed	HCR_ECOLI	NADH oxidoreductase HCR, EC 1.-.-.-	hcr ybjV b0872 JW5117	Escherichia coli (strain K12)	322
P75838	reviewed	YCAO_ECOLI	Ribosomal protein S12 methylthiotransferase accessory factor YcaO	ycaO b0905 JW0888	Escherichia coli (strain K12)	586
P75851	reviewed	SSUC_ECOLI	Putative aliphatic sulfonates transport permease protein SsuC	ssuC ycbM b0934 JW5121	Escherichia coli (strain K12)	263
P75869	reviewed	SXY_ECOLI	Protein Sxy (Competence activator Sxy)	sxy tfoX yccR b0959 JW0942	Escherichia coli (strain K12)	209
P75893	reviewed	RUTF_ECOLI	FMN reductase (NADH) RutF, EC 1.5.1.42 (FMN reductase) (NADH-flavin reductase RutF) (NADH:flavin oxidoreductase)	rutF ycdH b1007 JW5138	Escherichia coli (strain K12)	164
P75894	reviewed	RUTE_ECOLI	Probable malonic semialdehyde reductase RutE, EC 1.1.1.298	rutE ycdI b1008 JW0993	Escherichia coli (strain K12)	196
P75895	reviewed	RUTD_ECOLI	Putative carbamate hydrolase RutD, EC 3.5.1.- (Aminohydrolase)	rutD ycdJ b1009 JW0994	Escherichia coli (strain K12)	266
P75897	reviewed	RUTB_ECOLI	Ureidoacrylate amidohydrolase RutB, EC 3.5.1.110	rutB ycdL b1011 JW5139	Escherichia coli (strain K12)	230
P75905	reviewed	PGAC_ECOLI	Poly-beta-1,6-N-acetyl-D-glucosamine synthase, PGA synthase, Poly-beta-1,6-GlcNAc synthase, EC 2.4.1.- (Biofilm PGA synthesis protein PgaC) (N-acetylglucosaminyltransferase PgaC)	pgaC ycdQ b1022 JW1007	Escherichia coli (strain K12)	441
P75919	reviewed	CLSC_ECOLI	Cardiolipin synthase C, CL synthase, EC 2.7.8.-	clsC ymdC b1046 JW5150	Escherichia coli (strain K12)	473
P75952	reviewed	COMR_ECOLI	HTH-type transcriptional repressor ComR (Copper outer membrane regulator)	comR ycfQ b1111 JW5159	Escherichia coli (strain K12)	210
P75954	reviewed	YCFS_ECOLI	Probable L,D-transpeptidase YcfS, EC 2.-.-.-	ycfS b1113 JW5820	Escherichia coli (strain K12)	320
P75958	reviewed	LOLE_ECOLI	Lipoprotein-releasing system transmembrane protein LolE	lolE ycfW b1118 JW1104	Escherichia coli (strain K12)	414
P75966	reviewed	RLUE_ECOLI	Ribosomal large subunit pseudouridine synthase E, EC 5.4.99.20 (rRNA pseudouridylate synthase E) (rRNA-uridine isomerase E)	rluE ymfC b1135 JW1121	Escherichia coli (strain K12)	217
P75989	reviewed	BLUR_ECOLI	HTH-type transcriptional repressor BluR	bluR ycgE b1162 JW1149	Escherichia coli (strain K12)	243
P75993	reviewed	ARIR_ECOLI	Probable two-component-system connector protein AriR	ariR ymgB b1166 JW1153	Escherichia coli (strain K12)	88
P76016	reviewed	DHAR_ECOLI	PTS-dependent dihydroxyacetone kinase operon regulatory protein	dhaR ycgU b1201 JW5188	Escherichia coli (strain K12)	639
P76041	reviewed	GGAP_ECOLI	Glucosylglycerate phosphorylase, GGa phosphorylase, GGaP, EC 2.4.1.352	ycjM ggaP b1309 JW1302	Escherichia coli (strain K12)	559
P76044	reviewed	YCJR_ECOLI	3-dehydro-D-guloside 4-epimerase, EC 5.1.3.- (3-keto-D-guloside 4-epimerase)	ycjR b1314 JW5202	Escherichia coli (strain K12)	262
P76052	reviewed	ABGB_ECOLI	p-aminobenzoyl-glutamate hydrolase subunit B, EC 3.5.1.- (PABA-GLU hydrolase, PGH)	abgB ydaI b1337 JW1331 ECK1333	Escherichia coli (strain K12)	481
P76079	reviewed	PAAC_ECOLI	1,2-phenylacetyl-CoA epoxidase, subunit C (1,2-phenylacetyl-CoA epoxidase, structural subunit beta) (1,2-phenylacetyl-CoA monooxygenase, subunit C)	paaC ydbP b1390 JW1385	Escherichia coli (strain K12)	248
P76083	reviewed	PAAH_ECOLI	3-hydroxyadipyl-CoA dehydrogenase, EC 1.1.1.-	paaH ydbU b1395 JW1390	Escherichia coli (strain K12)	475
P76085	reviewed	PAAK_ECOLI	Phenylacetate-coenzyme A ligase, EC 6.2.1.30 (Phenylacetyl-CoA ligase, PA-CoA ligase)	paaK b1398 JW5218	Escherichia coli (strain K12)	437
P76086	reviewed	PAAX_ECOLI	Transcriptional repressor PaaX	paaX ydbY b1399 JW1394	Escherichia coli (strain K12)	316
P76106	reviewed	HICA_ECOLI	Probable mRNA interferase toxin HicA, EC 3.1.-.- (Endoribonuclease HicA) (Toxin HicA)	hicA yncN b4532 JW5230	Escherichia coli (strain K12)	58
P76112	reviewed	MNAT_ECOLI	L-amino acid N-acyltransferase MnaT, EC 2.3.1.- (L-methionine N-acyltransferase) (L-methionine sulfoximine/L-methionine sulfone N-acetyltransferase) (L-phenylglycine N-acetyltransferase)	mnaT yncA b1448 JW5233	Escherichia coli (strain K12)	172
P76136	reviewed	SAFA_ECOLI	Two-component-system connector protein SafA (Regulatory protein b1500) (Sensor associating factor A)	safA yneN b1500 JW1494.1	Escherichia coli (strain K12)	65
P76141	reviewed	LSRR_ECOLI	Transcriptional regulator LsrR	lsrR ydeW b1512 JW1505	Escherichia coli (strain K12)	317
P76143	reviewed	LSRF_ECOLI	3-hydroxy-5-phosphonooxypentane-2,4-dione thiolase, EC 2.3.1.245	lsrF yneB b1517 JW1510	Escherichia coli (strain K12)	291
P76145	reviewed	TAM_ECOLI	Trans-aconitate 2-methyltransferase, EC 2.1.1.144	tam yneD b1519 JW1512	Escherichia coli (strain K12)	252
P76147	reviewed	DGCF_ECOLI	Probable diguanylate cyclase DgcF, DGC, EC 2.7.7.65	dgcF yneF b1522 JW5825	Escherichia coli (strain K12)	315
P76190	reviewed	MEPH_ECOLI	Murein DD-endopeptidase MepH, EC 3.4.-.- (Murein hydrolase MepH)	mepH ydhO b1655 JW5270	Escherichia coli (strain K12)	271
P76194	reviewed	SUFE_ECOLI	Cysteine desulfuration protein SufE	sufE ynhA b1679 JW1669	Escherichia coli (strain K12)	138
P76215	reviewed	ASTE_ECOLI	Succinylglutamate desuccinylase, EC 3.5.1.96	astE ydjS b1744 JW1733	Escherichia coli (strain K12)	322
P76217	reviewed	ASTD_ECOLI	N-succinylglutamate 5-semialdehyde dehydrogenase, EC 1.2.1.71 (Succinylglutamic semialdehyde dehydrogenase, SGSD)	astD ydjU b1746 JW5282	Escherichia coli (strain K12)	492
P76242	reviewed	NIMT_ECOLI	2-nitroimidazole transporter	nimT yeaN b1791 JW1780	Escherichia coli (strain K12)	393
P76245	reviewed	DGCP_ECOLI	Diguanylate cyclase DgcP, DGC, EC 2.7.7.65	dgcP yeaP b1794 JW5292	Escherichia coli (strain K12)	341
P76250	reviewed	DMLR_ECOLI	HTH-type transcriptional regulator DmlR (D-malate degradation protein R)	dmlR yeaT b1799 JW1788	Escherichia coli (strain K12)	307
P76264	reviewed	MNTP_ECOLI	Probable manganese efflux pump MntP	mntP yebN b1821 JW5830	Escherichia coli (strain K12)	188
P76272	reviewed	YEBT_ECOLI	Intermembrane transport protein YebT	yebT b1834 JW1823	Escherichia coli (strain K12)	877
P76273	reviewed	RSMF_ECOLI	Ribosomal RNA small subunit methyltransferase F, EC 2.1.1.178 (16S rRNA m5C1407 methyltransferase) (rRNA (cytosine-C(5)-)-methyltransferase RsmF)	rsmF yebU b1835 JW5301	Escherichia coli (strain K12)	479
P76290	reviewed	CMOA_ECOLI	Carboxy-S-adenosyl-L-methionine synthase, Cx-SAM synthase, EC 2.1.3.-	cmoA yecO b1870 JW1859	Escherichia coli (strain K12)	247
P76291	reviewed	CMOB_ECOLI	tRNA U34 carboxymethyltransferase, EC 2.5.1.-	cmoB yecP b1871 JW1860	Escherichia coli (strain K12)	323
P76298	reviewed	FLHA_ECOLI	Flagellar biosynthesis protein FlhA	flhA b1879 JW1868	Escherichia coli (strain K12)	692
P76299	reviewed	FLHB_ECOLI	Flagellar biosynthetic protein FlhB	flhB yecQ b1880 JW1869	Escherichia coli (strain K12)	382
P76340	reviewed	HPRR_ECOLI	Transcriptional regulatory protein HprR (Hydrogen peroxide response regulator)	hprR yedW b1969 JW5322	Escherichia coli (strain K12)	223
P76346	reviewed	MTFA_ECOLI	Protein MtfA (Mlc titration factor A)	mtfA yeeI b1976 JW1958	Escherichia coli (strain K12)	265
P76352	reviewed	YEEO_ECOLI	Probable FMN/FAD exporter YeeO	yeeO b1985 JW1965	Escherichia coli (strain K12)	547
P76372	reviewed	WZZB_ECOLI	Chain length determinant protein (Polysaccharide antigen chain regulator)	wzzB cld rol wzz b2027 JW5836	Escherichia coli (strain K12)	326
P76373	reviewed	UDG_ECOLI	UDP-glucose 6-dehydrogenase, UDP-Glc dehydrogenase, UDP-GlcDH, UDPGDH, EC 1.1.1.22	ugd pmrE udg yefA b2028 JW2010	Escherichia coli (strain K12)	388
P76395	reviewed	PRP3_ECOLI	Serine/threonine-protein phosphatase 3, EC 3.1.3.16 (PP2C-like Ser/Thr phosphatase) (Protein phosphatase C)	pphC yegK b2072 JW2057	Escherichia coli (strain K12)	253
P76397	reviewed	MDTA_ECOLI	Multidrug resistance protein MdtA (Multidrug transporter MdtA)	mdtA yegM b2074 JW5338	Escherichia coli (strain K12)	415
P76403	reviewed	TRHP_ECOLI	tRNA hydroxylation protein P, EC 3.4.-.-	trhP yegQ b2081 JW2066	Escherichia coli (strain K12)	453
P76423	reviewed	THIM_ECOLI	Hydroxyethylthiazole kinase, EC 2.7.1.50 (4-methyl-5-beta-hydroxyethylthiazole kinase, TH kinase, Thz kinase)	thiM b2104 JW2091	Escherichia coli (strain K12)	262
P76425	reviewed	RCNA_ECOLI	Nickel/cobalt efflux system RcnA	rcnA yohM b2106 JW2093	Escherichia coli (strain K12)	274
P76473	reviewed	ARNT_ECOLI	Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase, EC 2.4.2.43 (4-amino-4-deoxy-L-arabinose lipid A transferase) (Lipid IV(A) 4-amino-4-deoxy-L-arabinosyltransferase) (Polymyxin resistance protein PmrK) (Undecaprenyl phosphate-alpha-L-Ara4N transferase)	arnT pmrK yfbI b2257 JW2251	Escherichia coli (strain K12)	550
P76536	reviewed	YFEX_ECOLI	Dye-decolorizing peroxidase YfeX, EC 1.11.1.- (Porphyrinogen oxidase)	yfeX b2431 JW2424	Escherichia coli (strain K12)	299
P76553	reviewed	EUTG_ECOLI	Probable alcohol dehydrogenase EutG, EC 1.1.1.1 (Ethanolamine utilization protein EutG)	eutG yffV b2453 JW2437	Escherichia coli (strain K12)	395
P76578	reviewed	A2MG_ECOLI	Alpha-2-macroglobulin (ECAM)	yfhM b2520 JW2504	Escherichia coli (strain K12)	1653
P76641	reviewed	GUAD_ECOLI	Guanine deaminase, Guanase, Guanine aminase, EC 3.5.4.3 (Guanine aminohydrolase, GAH)	guaD ygfP b2883 JW5466	Escherichia coli (strain K12)	439
P76773	reviewed	OMPL_ECOLI	Porin OmpL	ompL yshA b3875 JW3846	Escherichia coli (strain K12)	230
P76938	reviewed	EPMC_ECOLI	Elongation factor P hydroxylase, EF-P hydroxylase, EC 1.14.-.- (EF-P post-translational modification enzyme C)	epmC yfcM b2326 JW5381	Escherichia coli (strain K12)	182
P77154	reviewed	KOJP_ECOLI	Kojibiose phosphorylase, EC 2.4.1.230	ycjT b1316 JW1309	Escherichia coli (strain K12)	755
P77161	reviewed	GLXR_ECOLI	2-hydroxy-3-oxopropionate reductase, EC 1.1.1.60 (Tartronate semialdehyde reductase, TSAR)	glxR glxB1 ybbQ b0509 JW0497	Escherichia coli (strain K12)	292
P77245	reviewed	MURR_ECOLI	HTH-type transcriptional regulator MurR (MurPQ operon repressor)	murR yfeT b2427 JW2420	Escherichia coli (strain K12)	285
P77257	reviewed	LSRA_ECOLI	Autoinducer 2 import ATP-binding protein LsrA, AI-2 import ATP-binding protein LsrA, EC 7.6.2.13 (EGO10A)	lsrA ego ydeX b1513 JW1506	Escherichia coli (strain K12)	511
P77279	reviewed	FETA_ECOLI	Probable iron export ATP-binding protein FetA, EC 7.2.2.-	fetA ybbL b0490 JW0479	Escherichia coli (strain K12)	225
P77300	reviewed	XYNR_ECOLI	HTH-type transcriptional regulator XynR (Regulator of xylonate catabolism)	xynR yagI b0272 JW0265	Escherichia coli (strain K12)	252
P77306	reviewed	YQIK_ECOLI	Flotillin family inner membrane protein YqiK	yqiK b3051 JW3023	Escherichia coli (strain K12)	553
P77307	reviewed	FETB_ECOLI	Probable iron export permease protein FetB	fetB ybbM b0491 JW5066	Escherichia coli (strain K12)	259
P77308	reviewed	DDPB_ECOLI	Probable D,D-dipeptide transport system permease protein DdpB	ddpB yddR b1486 JW1481	Escherichia coli (strain K12)	340
P77329	reviewed	HYFG_ECOLI	Hydrogenase-4 component G, EC 1.-.-.-	hyfG b2487 JW2472	Escherichia coli (strain K12)	555
P77333	reviewed	PGRR_ECOLI	HTH-type transcriptional regulator PgrR (Regulator of PG recycling)	pgrR ycjZ b1328 JW1321	Escherichia coli (strain K12)	299
P77338	reviewed	MSCK_ECOLI	Mechanosensitive channel MscK (Potassium efflux system KefA)	mscK aefA kefA b0465 JW0454	Escherichia coli (strain K12)	1120
P77357	reviewed	ABGA_ECOLI	p-aminobenzoyl-glutamate hydrolase subunit A, EC 3.5.1.- (PABA-GLU hydrolase, PGH)	abgA ydaJ b1338 JW5205	Escherichia coli (strain K12)	436
P77374	reviewed	YNFE_ECOLI	Putative dimethyl sulfoxide reductase chain YnfE, DMSO reductase, EC 1.8.99.-	ynfE b1587 JW1579	Escherichia coli (strain K12)	808
P77379	reviewed	RCLR_ECOLI	RCS-specific HTH-type transcriptional activator RclR (Reactive chlorine resistance protein R)	rclR ykgD b0305 JW0298	Escherichia coli (strain K12)	284
P77390	reviewed	CITC_ECOLI	[Citrate [pro-3S]-lyase] ligase, EC 6.2.1.22 (Acetate:SH-citrate lyase ligase) (Citrate lyase synthetase)	citC ybeO b0618 JW0610	Escherichia coli (strain K12)	352
P77397	reviewed	MHPA_ECOLI	3-(3-hydroxy-phenyl)propionate/3-hydroxycinnamic acid hydroxylase, 3-HCI hydroxylase, 3-HPP hydroxylase, EC 1.14.13.127	mhpA b0347 JW0338	Escherichia coli (strain K12)	554
P77439	reviewed	PTFX1_ECOLI	Multiphosphoryl transfer protein 1, MTP 1 (Triphosphoryl transfer protein 1, TTP 1) [Includes: Phosphoenolpyruvate-protein phosphotransferase, EC 2.7.3.9 (Phosphotransferase system enzyme I); Phosphocarrier protein HPr, Protein H; PTS system fructose-like EIIA component, EC 2.7.1.202 (Fructose-like phosphotransferase enzyme IIA component) ]	fryA ypdD b2383 JW2380	Escherichia coli (strain K12)	831
P77463	reviewed	DDPC_ECOLI	Probable D,D-dipeptide transport system permease protein DdpC	ddpC yddQ b1485 JW1480	Escherichia coli (strain K12)	298
P77467	reviewed	PAAG_ECOLI	1,2-epoxyphenylacetyl-CoA isomerase, EC 5.3.3.18	paaG ydbT b1394 JW1389	Escherichia coli (strain K12)	262
P77475	reviewed	YQAB_ECOLI	Fructose-1-phosphate phosphatase YqaB, EC 3.1.3.- (Fructose-1-phosphatase)	yqaB b2690 JW2665	Escherichia coli (strain K12)	188
