(Proteins Complexes)	Object ID	GO terms (molecular function)	Reactions catalyzed by enzyme	Object ID
long-chain-fatty-acid&mdash;CoA ligase	ACYLCOASYN-CPLX		oleate + ATP + coenzyme A  ->  oleoyl-CoA + AMP + diphosphate // propanoate + ATP + coenzyme A  ->  propanoyl-CoA + AMP + diphosphate // 2,3,4-saturated fatty acyl-CoA synthetase // a 2,3,4-saturated fatty acid + ATP + coenzyme A + H+  ->  a 2,3,4-saturated fatty acyl CoA + AMP + diphosphate + H+ // cis-vaccenate + ATP + coenzyme A + H+  ->  cis-vaccenoyl-CoA + AMP + diphosphate + H+ // oleate[periplasm] + ATP + coenzyme A + H+[periplasm]  ->  oleoyl-CoA + AMP + diphosphate + H+ // palmitoleate[periplasm] + ATP + coenzyme A + H+[periplasm]  ->  palmitoleoyl-CoA + AMP + diphosphate + H+	oleate + ATP + coenzyme A  ->  oleoyl-CoA + AMP + diphosphate // propanoate + ATP + coenzyme A  ->  propanoyl-CoA + AMP + diphosphate // 2,3,4-saturated fatty acyl-CoA synthetase // a 2,3,4-saturated fatty acid + ATP + coenzyme A + H+  ->  a 2,3,4-saturated fatty acyl CoA + AMP + diphosphate + H+ // cis-vaccenate + ATP + coenzyme A + H+  ->  cis-vaccenoyl-CoA + AMP + diphosphate + H+ // oleate[periplasm] + ATP + coenzyme A + H+[periplasm]  ->  oleoyl-CoA + AMP + diphosphate + H+ // palmitoleate[periplasm] + ATP + coenzyme A + H+[periplasm]  ->  palmitoleoyl-CoA + AMP + diphosphate + H+
low-affinity gluconate transporter	GNTU-MONOMER	carbohydrate:cation symporter activity // gluconate transmembrane transporter activity	D-gluconate:proton symport	D-gluconate:proton symport
lysine / arginine / ornithine ABC transporter	ABC-3-CPLX		ATP + L-ornithine[periplasm] + H2O  ->  ADP + L-ornithine[cytosol] + phosphate + H+ // ATP + L-arginine[periplasm] + H2O  ->  ADP + L-arginine[cytosol] + phosphate + H+ // L-lysine[periplasm] + ATP + H2O  ->  L-lysine[cytosol] + ADP + phosphate + H+	ATP + L-ornithine[periplasm] + H2O  ->  ADP + L-ornithine[cytosol] + phosphate + H+ // ATP + L-arginine[periplasm] + H2O  ->  ADP + L-arginine[cytosol] + phosphate + H+ // L-lysine[periplasm] + ATP + H2O  ->  L-lysine[cytosol] + ADP + phosphate + H+
lysine:cadaverine antiporter	CADB-MONOMER	transmembrane transporter activity // antiporter activity // solute:proton symporter activity // lysine:cadaverine antiporter activity	lysine:cadaverine antiport // cadaverine:proton symport	lysine:cadaverine antiport // cadaverine:proton symport
lysine:H+ symporter	LYSP-MONOMER	amino acid transmembrane transporter activity // protein binding // transcription factor binding // L-lysine transmembrane transporter activity // identical protein binding	L-lysine:proton symport	L-lysine:proton symport
lysophospholipid transporter	EG12455-MONOMER	transmembrane transporter activity // lysophospholipid:sodium symporter activity // lipid transporter activity	a 2-acyl-1-lyso-phosphatidylethanolamine[periplasm]  <-->  a 2-acyl-1-lyso-phosphatidylethanolamine[cytosol] // a lyso-phosphatidylglycerol[periplasm]  <-->  a lyso-phosphatidylglycerol[cytosol] // a lyso-cardiolipin[periplasm]  ->  a lyso-cardiolipin[cytosol]	a 2-acyl-1-lyso-phosphatidylethanolamine[periplasm]  <-->  a 2-acyl-1-lyso-phosphatidylethanolamine[cytosol] // a lyso-phosphatidylglycerol[periplasm]  <-->  a lyso-phosphatidylglycerol[cytosol] // a lyso-cardiolipin[periplasm]  ->  a lyso-cardiolipin[cytosol]
maltose ABC transporter	ABC-16-CPLX	DNA-binding transcription factor binding // ABC-type maltose transporter activity	maltose[periplasm] + ATP + H2O  ->  maltose[cytosol] + ADP + phosphate + H+ // maltotetraose[periplasm] + ATP + H2O  ->  ADP + maltotetraose[cytosol] + phosphate + H+ // maltotriose[periplasm] + ATP + H2O  ->  ADP + maltotriose[cytosol] + phosphate + H+	maltose[periplasm] + ATP + H2O  ->  maltose[cytosol] + ADP + phosphate + H+ // maltotetraose[periplasm] + ATP + H2O  ->  ADP + maltotetraose[cytosol] + phosphate + H+ // maltotriose[periplasm] + ATP + H2O  ->  ADP + maltotriose[cytosol] + phosphate + H+
maltose outer membrane channel / phage lambda receptor protein	CPLX0-7655		maltose[extracellular space]  ->  maltose[periplasm] // non-specific ion/solute[extracellular space]  ->  non-specific ion/solute[periplasm]	maltose[extracellular space]  ->  maltose[periplasm] // non-specific ion/solute[extracellular space]  ->  non-specific ion/solute[periplasm]
mannitol-specific PTS enzyme II	CPLX-166		D-mannitol PTS permease // HPr-Phis15 + D-sorbitol[periplasm]  ->  D-sorbitol 6-phosphate[cytosol] + phosphocarrier protein HPr	D-mannitol PTS permease // HPr-Phis15 + D-sorbitol[periplasm]  ->  D-sorbitol 6-phosphate[cytosol] + phosphocarrier protein HPr
mannitol-specific PTS enzyme II CmtBA	CPLX-156		D-mannitol PTS permease	D-mannitol PTS permease
mannose-specific PTS enzyme II	CPLX-165	protein-N(PI)-phosphohistidine-N-acetyl-mannosamine phosphotransferase system transporter activity // protein-N(PI)-phosphohistidine-D-glucosamine phosphotransferase system transporter activity // protein-N(PI)-phosphohistidine-glucose phosphotransferase system transporter activity // protein-N(PI)-phosphohistidine-N-acetylglucosamine phosphotransferase system transporter activity // protein-N(PI)-phosphohistidine-fructose phosphotransferase system transporter activity // protein-N(PI)-phosphohistidine-mannose phosphotransferase system transporter activity	D-mannopyranose[periplasm] + HPr-Phis15  ->  D-mannopyranose 6-phosphate[cytosol] + phosphocarrier protein HPr // 2-deoxy-D-glucose[periplasm] + HPr-Phis15  ->  2-deoxy-D-glucose 6-phosphate[cytosol] + phosphocarrier protein HPr // N-acetyl-D-mannosamine[periplasm] + HPr-Phis15  ->  N-acetyl-D-mannosamine 6-phosphate[cytosol] + phosphocarrier protein HPr // HPr-Phis15 + D-glucosamine[periplasm]  ->  D-glucosamine 6-phosphate[cytosol] + phosphocarrier protein HPr // transport of &beta;-D-glucose by PTS // HPr-Phis15 + N-acetyl-D-glucosamine[periplasm]  ->  N-acetyl-D-glucosamine 6-phosphate[cytosol] + phosphocarrier protein HPr // D-fructofuranose[periplasm] + HPr-Phis15  ->  D-fructofuranose 6-phosphate[cytosol] + phosphocarrier protein HPr	D-mannopyranose[periplasm] + HPr-Phis15  ->  D-mannopyranose 6-phosphate[cytosol] + phosphocarrier protein HPr // 2-deoxy-D-glucose[periplasm] + HPr-Phis15  ->  2-deoxy-D-glucose 6-phosphate[cytosol] + phosphocarrier protein HPr // N-acetyl-D-mannosamine[periplasm] + HPr-Phis15  ->  N-acetyl-D-mannosamine 6-phosphate[cytosol] + phosphocarrier protein HPr // HPr-Phis15 + D-glucosamine[periplasm]  ->  D-glucosamine 6-phosphate[cytosol] + phosphocarrier protein HPr // transport of &beta;-D-glucose by PTS // HPr-Phis15 + N-acetyl-D-glucosamine[periplasm]  ->  N-acetyl-D-glucosamine 6-phosphate[cytosol] + phosphocarrier protein HPr // D-fructofuranose[periplasm] + HPr-Phis15  ->  D-fructofuranose 6-phosphate[cytosol] + phosphocarrier protein HPr
melibiose:H<sup>+</sup>/Na<sup>+</sup>/Li<sup>+</sup> symporter	MELB-MONOMER	transmembrane transporter activity // symporter activity // protein binding // methylgalactoside transmembrane transporter activity // melibiose:sodium symporter activity // glycoside-pentoside-hexuronide:cation symporter activity // melibiose:cation symporter activity	melibiose:proton symport // melibionate:proton symport // melibiose:Li<sup>+</sup> symport // melibiose:Na<sup>+</sup> symport // &beta;-methylgalactoside:Na<sup>+</sup> symport // &alpha;-methylgalactoside:proton symport	melibiose:proton symport // melibionate:proton symport // melibiose:Li<sup>+</sup> symport // melibiose:Na<sup>+</sup> symport // &beta;-methylgalactoside:Na<sup>+</sup> symport // &alpha;-methylgalactoside:proton symport
metal phosphate:H<sup>+</sup> symporter PitA	PITA-MONOMER	protein binding // tellurite transmembrane transporter activity // arsenate ion transmembrane transporter activity // solute:proton symporter activity // zinc ion transmembrane transporter activity // inorganic phosphate transmembrane transporter activity	phosphate:proton symport // zinc hydrogenphosphate:proton symport // calcium hydrogenphosphate:proton symport // magnesium hydrogenphosphate:proton symport // arsenate:proton symport // tellurite:proton symport	phosphate:proton symport // zinc hydrogenphosphate:proton symport // calcium hydrogenphosphate:proton symport // magnesium hydrogenphosphate:proton symport // arsenate:proton symport // tellurite:proton symport
metal phosphate:H<sup>+</sup> symporter PitB	PITB-MONOMER	inorganic phosphate transmembrane transporter activity	phosphate:proton symport // arsenate:proton symport // calcium hydrogenphosphate:proton symport // magnesium hydrogenphosphate:proton symport	phosphate:proton symport // arsenate:proton symport // calcium hydrogenphosphate:proton symport // magnesium hydrogenphosphate:proton symport
Mg<sup>2+</sup> importing P-type ATPase	MGTA-MONOMER	ATPase-coupled cation transmembrane transporter activity // metal ion binding // nucleotide binding // P-type ion transporter activity // protein binding // ATP binding // P-type magnesium transporter activity	Mg2+[periplasm] + ATP + H2O  ->  Mg2+[cytosol] + ADP + phosphate + H+	Mg2+[periplasm] + ATP + H2O  ->  Mg2+[cytosol] + ADP + phosphate + H+
Mn2+ exporter	G6999-MONOMER	manganese ion transmembrane transporter activity	Mn<sup>2+</sup> export	Mn<sup>2+</sup> export
Mn<sup>2+</sup>/Fe<sup>2+</sup>: H<sup>+</sup> symporter MntH	YFEP-MONOMER	metal ion binding // metal ion transmembrane transporter activity // protein binding // cadmium ion transmembrane transporter activity // proton transmembrane transporter activity // manganese ion transmembrane transporter activity // symporter activity // uniporter activity	Fe<sup>2+</sup>:proton symport // Mn<sup>2+</sup>:proton symport	Fe<sup>2+</sup>:proton symport // Mn<sup>2+</sup>:proton symport
molybdate ABC transporter	ABC-19-CPLX		ATP + molybdate[periplasm] + H2O  ->  ADP + molybdate[cytosol] + phosphate + H+	ATP + molybdate[periplasm] + H2O  ->  ADP + molybdate[cytosol] + phosphate + H+
multidrug efflux pump / bile salt:H<sup>+</sup> antiporter / Na<sup>+</sup>:H<sup>+</sup> antiporter / K<sup>+</sup>:H<sup>+</sup> antiporter	YJIO-MONOMER	xenobiotic transmembrane transporter activity // transmembrane transporter activity // solute:proton antiporter activity // bile acid transmembrane transporter activity // sodium:proton antiporter activity // potassium:proton antiporter activity	drug:proton antiport // electrogenic sodium:proton antiport // electrogenic potassium:proton antiport // deoxycholate:proton antiport // cholate:proton antiport	drug:proton antiport // electrogenic sodium:proton antiport // electrogenic potassium:proton antiport // deoxycholate:proton antiport // cholate:proton antiport
multidrug efflux pump AcrAB-TolC	TRANS-CPLX-201		acriflavine efflux // ethidium export // chenodeoxycholate export // decanoate export // n-hexane export // enterobactin export	acriflavine efflux // ethidium export // chenodeoxycholate export // decanoate export // n-hexane export // enterobactin export
multidrug efflux pump AcrAD-TolC	CPLX0-3932		gentamicin export	gentamicin export
multidrug efflux pump AcrEF-TolC	CPLX0-2141		deoxycholate export // erythromycin export // acriflavine efflux // n-hexane export	deoxycholate export // erythromycin export // acriflavine efflux // n-hexane export
multidrug efflux pump Bcr	BCR-MONOMER	transmembrane transporter activity // xenobiotic transmembrane transporter activity // solute:proton antiporter activity // cysteine transmembrane transporter activity // dipeptide transmembrane transporter activity	bicozamycin:H<sup>+</sup> antiport // drug:proton antiport	bicozamycin:H<sup>+</sup> antiport // drug:proton antiport
multidrug efflux pump EmrAB-TolC	CPLX0-2121		deoxycholate export // carbonylcyanide m-chlorophenylhydrazone export // nalidixate export	deoxycholate export // carbonylcyanide m-chlorophenylhydrazone export // nalidixate export
multidrug efflux pump EmrD	EMRD-MONOMER	transmembrane transporter activity // xenobiotic transmembrane transporter activity // solute:proton antiporter activity	carbonylcyanide m-chlorophenylhydrazone:proton antiport // drug:proton antiport	carbonylcyanide m-chlorophenylhydrazone:proton antiport // drug:proton antiport
multidrug efflux pump EmrE / betaine:H<sup>+</sup> antiporter / choline:H<sup>+</sup> antiporter	CPLX0-7963		bicozamycin:H<sup>+</sup> antiport // drug:proton antiport // sulfadiazine:proton antiport // ethidium:proton antiport // choline:proton antiport // glycine betaine:proton antiport	bicozamycin:H<sup>+</sup> antiport // drug:proton antiport // sulfadiazine:proton antiport // ethidium:proton antiport // choline:proton antiport // glycine betaine:proton antiport
multidrug efflux pump MdfA / Na<sup>+</sup>:H<sup>+</sup> antiporter / K<sup>+</sup>:H<sup>+</sup> antiporter	CMR-MONOMER	xenobiotic transmembrane transporter activity // transmembrane transporter activity // solute:proton antiporter activity // potassium:proton antiporter activity // sodium:proton antiporter activity	potassium:proton antiport // sodium:proton antiport // drug:proton antiport // ethidium:proton antiport // dequalinium:proton antiport	potassium:proton antiport // sodium:proton antiport // drug:proton antiport // ethidium:proton antiport // dequalinium:proton antiport
multidrug efflux pump MdtABC-TolC	TRANS-CPLX-202		novobiocin export // deoxycholate export // dodecyl sulfate export	novobiocin export // deoxycholate export // dodecyl sulfate export
multidrug efflux pump MdtEF-TolC	TRANS-CPLX-204		deoxycholate export // erythromycin export // ethidium export	deoxycholate export // erythromycin export // ethidium export
multidrug efflux pump MdtK	YDHE-MONOMER	transmembrane transporter activity // antiporter activity // solute:cation antiporter activity // xenobiotic transmembrane transporter activity // dipeptide transmembrane transporter activity	drug:Na<sup>+</sup> antiport // norfloxacin:Na<sup>+</sup> antiport // tetraphenylphosphonium:Na<sup>+</sup> antiport // deoxycholate:Na<sup>+</sup> antiport	drug:Na<sup>+</sup> antiport // norfloxacin:Na<sup>+</sup> antiport // tetraphenylphosphonium:Na<sup>+</sup> antiport // deoxycholate:Na<sup>+</sup> antiport
multidrug/spermidine efflux pump	YDGEF-CPLX		spermidine:proton antiport // nalidixate:proton antiport	spermidine:proton antiport // nalidixate:proton antiport
murein tripeptide ABC transporter	CPLX0-3970		ATP + L-alanyl-gamma-D-glutamyl-meso-diaminopimelate[periplasm] + H2O  ->  L-alanyl-gamma-D-glutamyl-meso-diaminopimelate[cytosol] + ADP + phosphate + H+	ATP + L-alanyl-gamma-D-glutamyl-meso-diaminopimelate[periplasm] + H2O  ->  L-alanyl-gamma-D-glutamyl-meso-diaminopimelate[cytosol] + ADP + phosphate + H+
muropeptide:H<sup>+</sup> symporter	AMPG-MONOMER	transmembrane transporter activity // symporter activity // solute:proton symporter activity	muropeptide:proton symport // muropeptide:proton symport	muropeptide:proton symport // muropeptide:proton symport
<I>N,N'</I>-diacetylchitobiose-specific PTS enzyme II	CPLX-155	protein-phosphocysteine-N,N'-diacetylchitobiose phosphotransferase system transporter activity	transport of chitobiose // HPr-Phis15 + beta-D-cellobiose[periplasm]  ->  beta-D-cellobiose 6'-phosphate[cytosol] + phosphocarrier protein HPr	transport of chitobiose // HPr-Phis15 + beta-D-cellobiose[periplasm]  ->  beta-D-cellobiose 6'-phosphate[cytosol] + phosphocarrier protein HPr
N-acetylglucosamine-specific PTS enzyme II	CPLX-167		HPr-Phis15 + N-acetyl-D-glucosamine[periplasm]  ->  N-acetyl-D-glucosamine 6-phosphate[cytosol] + phosphocarrier protein HPr // HPr-Phis15 + D-glucosamine[periplasm]  ->  D-glucosamine 6-phosphate[cytosol] + phosphocarrier protein HPr	HPr-Phis15 + N-acetyl-D-glucosamine[periplasm]  ->  N-acetyl-D-glucosamine 6-phosphate[cytosol] + phosphocarrier protein HPr // HPr-Phis15 + D-glucosamine[periplasm]  ->  D-glucosamine 6-phosphate[cytosol] + phosphocarrier protein HPr
N-acetylmuramic acid-specific PTS enzyme II	CPLX0-7	protein-phosphocysteine-N-acetylmuramate phosphotransferase system transporter activity	1,6-anhydro-N-acetyl-beta-muramate[periplasm]  ->  1,6-anhydro-N-acetyl-beta-muramate[cytosol] // transport of N-acetyl-D-muramate	1,6-anhydro-N-acetyl-beta-muramate[periplasm]  ->  1,6-anhydro-N-acetyl-beta-muramate[cytosol] // transport of N-acetyl-D-muramate
N-acetylmuramic acid-specific PTS enzyme IICB component / anhydro-N-acetylmuramic acid transporter	MONOMER0-5	protein-phosphocysteine-sugar phosphotransferase activity // kinase activity // transferase activity // protein-N(PI)-phosphohistidine-sugar phosphotransferase activity // protein-phosphocysteine-N-acetylmuramate phosphotransferase system transporter activity	1,6-anhydro-N-acetyl-beta-muramate[periplasm]  ->  1,6-anhydro-N-acetyl-beta-muramate[cytosol] // transport of N-acetyl-D-muramate	1,6-anhydro-N-acetyl-beta-muramate[periplasm]  ->  1,6-anhydro-N-acetyl-beta-muramate[cytosol] // transport of N-acetyl-D-muramate
<i>N</i>-acetylneuraminate outer membrane channel	G7921-MONOMER	porin activity	N-acetyl-beta-neuraminate[extracellular space]  ->  N-acetyl-beta-neuraminate[periplasm] // N-acetylneuraminate[extracellular space]  ->  N-acetylneuraminate[periplasm]	N-acetyl-beta-neuraminate[extracellular space]  ->  N-acetyl-beta-neuraminate[periplasm] // N-acetylneuraminate[extracellular space]  ->  N-acetylneuraminate[periplasm]
<i>N</i>-acetylneuraminate:H<sup>+</sup> symporter	NANT-MONOMER	sialic acid:proton symporter activity	N-acetylneuraminate:proton symport	N-acetylneuraminate:proton symport
Na<sup>+</sup>/K<sup>+</sup>:H<sup>+</sup> antiporter ChaA	CHAA-MONOMER	antiporter activity // cation transmembrane transporter activity // potassium:proton antiporter activity // sodium:proton antiporter activity	potassium:proton antiport // sodium:proton antiport	potassium:proton antiport // sodium:proton antiport
Na<sup>+</sup>:H<sup>+</sup> antiporter NhaA	CPLX0-7629		electrogenic sodium:proton antiport // Li<sup>+</sup>:proton antiport	electrogenic sodium:proton antiport // Li<sup>+</sup>:proton antiport
Na<sup>+</sup>:H<sup>+</sup> antiporter NhaB	NHAB-MONOMER	antiporter activity // sodium ion transmembrane transporter activity // sodium:proton antiporter activity	Na<sup>+</sup>:proton antiport	Na<sup>+</sup>:proton antiport
NADH:quinone oxidoreductase I	NADH-DHI-CPLX	calcium ion binding // cation efflux transmembrane transporter activity // NADH dehydrogenase (ubiquinone) activity	NADH + a ubiquinone[inner membrane] + 5 H+  <-->  NAD+ + an ubiquinol[inner membrane] + 4 H+[periplasm] // a menaquinone[inner membrane] + NADH + 5 H+  ->  a menaquinol[inner membrane] + NAD+ + 4 H+[periplasm]	NADH + a ubiquinone[inner membrane] + 5 H+  <-->  NAD+ + an ubiquinol[inner membrane] + 4 H+[periplasm] // a menaquinone[inner membrane] + NADH + 5 H+  ->  a menaquinol[inner membrane] + NAD+ + 4 H+[periplasm]
Ni(2+) ABC transporter	ABC-20-CPLX		Ni2+[periplasm] + ATP + H2O  ->  Ni2+[cytosol] + ADP + phosphate + H+	Ni2+[periplasm] + ATP + H2O  ->  Ni2+[cytosol] + ADP + phosphate + H+
Ni<sup>2+</sup>/Co<sup>2+</sup> exporter	G7138-MONOMER	cation efflux transmembrane transporter activity // nickel cation transmembrane transporter activity	Co<sup>2+</sup> export // Ni<sup>2+</sup> export	Co<sup>2+</sup> export // Ni<sup>2+</sup> export
Ni<sup>2+</sup>/Co<sup>2+</sup>/Mg<sup>2+</sup> transporter	CORA-MONOMER	metal ion transmembrane transporter activity // nickel cation transmembrane transporter activity // magnesium ion transmembrane transporter activity // cobalt ion transmembrane transporter activity	Ni2+[periplasm]  ->  Ni2+[cytosol] // Co2+[periplasm]  ->  Co2+[cytosol] // Mg2+[periplasm]  ->  Mg2+[cytosol]	Ni2+[periplasm]  ->  Ni2+[cytosol] // Co2+[periplasm]  ->  Co2+[cytosol] // Mg2+[periplasm]  ->  Mg2+[cytosol]
nicotinamide riboside transporter	PNUC-MONOMER	nicotinamide riboside transmembrane transporter activity	1-(beta-D ribofuranosyl)nicotinamide[periplasm]  ->  1-(beta-D ribofuranosyl)nicotinamide[cytosol]	1-(beta-D ribofuranosyl)nicotinamide[periplasm]  ->  1-(beta-D ribofuranosyl)nicotinamide[cytosol]
nitrate reductase A	NITRATREDUCTA-CPLX	quinone binding // electron transfer activity // nitrate reductase activity	nitrate + a menaquinol[inner membrane] + 2 H+  ->  nitrite + a menaquinone[inner membrane] + H2O + 2 H+[periplasm] // nitrate + an ubiquinol[inner membrane] + 2 H+  ->  nitrite + a ubiquinone[inner membrane] + 2 H+[periplasm] + H2O // tellurite + a reduced unknown two electron carrier  ->  Te0 + an oxidized unknown electron carrier	nitrate + a menaquinol[inner membrane] + 2 H+  ->  nitrite + a menaquinone[inner membrane] + H2O + 2 H+[periplasm] // nitrate + an ubiquinol[inner membrane] + 2 H+  ->  nitrite + a ubiquinone[inner membrane] + 2 H+[periplasm] + H2O // tellurite + a reduced unknown two electron carrier  ->  Te0 + an oxidized unknown electron carrier
nitrate reductase Z	NITRATREDUCTZ-CPLX	3 iron, 4 sulfur cluster binding // 4 iron, 4 sulfur cluster binding // iron-sulfur cluster binding // molybdopterin cofactor binding // electron transfer activity // nitrate reductase activity	nitrate + a menaquinol[inner membrane] + 2 H+  ->  nitrite + a menaquinone[inner membrane] + H2O + 2 H+[periplasm] // tellurite + a reduced unknown two electron carrier  ->  Te0 + an oxidized unknown electron carrier	nitrate + a menaquinol[inner membrane] + 2 H+  ->  nitrite + a menaquinone[inner membrane] + H2O + 2 H+[periplasm] // tellurite + a reduced unknown two electron carrier  ->  Te0 + an oxidized unknown electron carrier
nitrate/nitrite transporter NarU	NARU-MONOMER	transmembrane transporter activity // nitrite transmembrane transporter activity // nitrate transmembrane transporter activity // nitrite efflux transmembrane transporter activity	nitrate:nitrite antiport	nitrate:nitrite antiport
nitrate:nitrite antiporter NarK	NARK-MONOMER	transmembrane transporter activity // nitrite transmembrane transporter activity // nitrate transmembrane transporter activity // inorganic anion exchanger activity // high-affinity secondary active nitrite transmembrane transporter activity // nitrite efflux transmembrane transporter activity	nitrite[periplasm]  ->  nitrite[cytosol] // nitrate:nitrite antiport	nitrite[periplasm]  ->  nitrite[cytosol] // nitrate:nitrite antiport
nitrite transporter NirC	NIRC-MONOMER	formate transmembrane transporter activity // transmembrane transporter activity // high-affinity secondary active nitrite transmembrane transporter activity	nitrite[periplasm]  ->  nitrite[cytosol]	nitrite[periplasm]  ->  nitrite[cytosol]
nucleoside-specific channel-forming protein Tsx	EG11035-MONOMER	porin activity // nucleoside transmembrane transporter activity // nucleoside-specific channel forming porin activity	a nucleoside[extracellular space]  ->  a nucleoside[periplasm]	a nucleoside[extracellular space]  ->  a nucleoside[periplasm]
nucleoside:H<sup>+</sup> symporter NupC	NUPC-MONOMER	nucleoside:proton symporter activity	deoxycytidine:proton symport // cytidine:proton symport // thymidine:proton symport // deoxyinosine:proton symport // inosine:proton symport // uridine:proton symport // deoxyuridine:proton symport // deoxyadenosine:proton symport // adenosine:proton symport // ADP-glucose:proton symport	deoxycytidine:proton symport // cytidine:proton symport // thymidine:proton symport // deoxyinosine:proton symport // inosine:proton symport // uridine:proton symport // deoxyuridine:proton symport // deoxyadenosine:proton symport // adenosine:proton symport // ADP-glucose:proton symport
nucleoside:H<sup>+</sup> symporter NupG	NUPG-MONOMER	nucleoside:proton symporter activity	adenosine:proton symport // cytidine:proton symport // thymidine:proton symport // guanosine:proton symport // deoxyadenosine:proton symport // uridine:proton symport // deoxyguanosine:proton symport // inosine:proton symport // deoxycytidine:proton symport // deoxyinosine:proton symport // ADP-glucose:proton symport	adenosine:proton symport // cytidine:proton symport // thymidine:proton symport // guanosine:proton symport // deoxyadenosine:proton symport // uridine:proton symport // deoxyguanosine:proton symport // inosine:proton symport // deoxycytidine:proton symport // deoxyinosine:proton symport // ADP-glucose:proton symport
oligopeptide ABC transporter	ABC-22-CPLX		ATP + L-alanyl-gamma-D-glutamyl-meso-diaminopimelate[periplasm] + H2O  ->  L-alanyl-gamma-D-glutamyl-meso-diaminopimelate[cytosol] + ADP + phosphate + H+ // ATP + a dipeptide[periplasm] + H2O  ->  ADP + a dipeptide[cytosol] + phosphate + H+ // an oligopeptide[periplasm] + ATP + H2O  ->  an oligopeptide[cytosol] + ADP + phosphate + H+	ATP + L-alanyl-gamma-D-glutamyl-meso-diaminopimelate[periplasm] + H2O  ->  L-alanyl-gamma-D-glutamyl-meso-diaminopimelate[cytosol] + ADP + phosphate + H+ // ATP + a dipeptide[periplasm] + H2O  ->  ADP + a dipeptide[cytosol] + phosphate + H+ // an oligopeptide[periplasm] + ATP + H2O  ->  an oligopeptide[cytosol] + ADP + phosphate + H+
osmolyte:H<sup>+</sup> symporter ProP	CPLX0-7642		L-proline:proton symport // glycine betaine:proton symport	L-proline:proton symport // glycine betaine:proton symport
outer membrane lipoprotein LolB	EG11293-MONOMER	protein binding	a LolA-lipoprotein complex[periplasm]  ->  an N-acyl-(S-diacyl-sn-glyceryl)-L-cysteinyl-[lipoprotein][outer membrane] + a LolA lipoprotein chaperone	a LolA-lipoprotein complex[periplasm]  ->  an N-acyl-(S-diacyl-sn-glyceryl)-L-cysteinyl-[lipoprotein][outer membrane] + a LolA lipoprotein chaperone
